1IKZh,8/2k4P/p2p4/1ppP4/K1P5/1P6/P6Q/2q5 w - - 0 55,c4b5 a6b5 a4b5 c1f1 b5a5 c7b7 h2d6 f1e1 a5a4 e1b4,2612,92,93,3025,attraction endgame mate mateIn5 queenEndgame veryLong,https://lichess.org/M4Me1NGB#109,
1O0Fw,7r/5R2/4R3/p3Pp1k/2p3pp/6PP/r4P2/6K1 b - - 1 31,h5g5 f2f4 g4f3 f7g7 g5h5 g3g4 f5g4 h3g4,2510,75,92,3519,endgame mate mateIn4 rookEndgame veryLong,https://lichess.org/GGXrf5ZB/black#62,
1by6Z,rnb3r1/p4pk1/2pQ2p1/q5P1/3pP3/1PN2B2/PP6/R3K2R b KQ - 0 20,d4c3 h1h7 g7h7 d6h2 c8h3 h2h3 h7g7 h3h6,2410,78,95,1880,attraction mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/Ms4Z2t96/black#40,
1fVFe,4rr2/pb3p1k/1p3P1b/2p3pR/4P3/3B4/P1P1K3/6R1 b - - 1 31,f8g8 h5h6 h7h6 g1h1 h6g6 e4e5 b7e4 d3e4,2449,81,92,5202,attraction discoveredAttack exposedKing mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/BmgNytf3/black#62,
1jUnZ,2r2rk1/3qpp1p/3p4/2p2p1Q/1p2P3/3P1R1P/2P3P1/5R1K b - - 0 25,f7f6 f3g3 g8h8 h5h7 h8h7 f1f4 d7e8 f4h4 e8h5 h4h5,2599,91,93,2879,endgame kingsideAttack mate mateIn5 sacrifice veryLong,https://lichess.org/eVV2l00D/black#50,
2EIkt,rn3rk1/pp3pp1/2pb3p/3pN3/3P4/2NQ4/PPP2q1P/2K2RR1 b - - 3 15,f2h4 g1g7 g8g7 f1f7 f8f7 d3g6 g7h8 e5f7,2496,79,93,3228,attraction fork mate mateIn4 middlegame sacrifice veryLong,https://lichess.org/MFk9Bdi4/black#30,French_Defense French_Defense_Knight_Variation
2QqVL,4r1k1/1p3Bp1/2pQ4/p3p1Pn/P3P3/2q2P2/3RK3/8 b - - 0 37,g8f7 g5g6 f7g8 d6e6 e8e6 d2d8 e6e8 d8e8,2401,78,94,5552,clearance endgame mate mateIn4 sacrifice veryLong,https://lichess.org/BwVckwhQ/black#74,
2Wzzk,r2q1rk1/ppp1np1p/6p1/6B1/4N3/1P4P1/P4PBP/Q4bK1 b - - 0 17,f1g2 e4f6 g8h8 f6g4 f7f6 g5f6 f8f6 a1f6 h8g8 g4h6,2514,81,95,4252,discoveredAttack kingsideAttack mate mateIn5 middlegame veryLong,https://lichess.org/YaYqpbkT/black#34,English_Opening English_Opening_Kings_English_Variation
2aXgA,3Q1b2/6kp/1B4p1/4p3/1p2PpP1/1Q3PqP/3R4/2r2K2 w - - 0 43,f1e2 g3g2 e2d3 g2f3 b6e3 f3e3,2455,76,92,1115,deflection long master mate mateIn3 middlegame,https://lichess.org/VL3wSNOF#85,
2cnM8,6k1/pppn2p1/3p4/3P4/4N1QK/1q6/6PP/8 b - - 1 32,d7e5 e4f6 g8f7 g4e6 f7g6 f6e4 g6h7 e4g5 h7h8 e6e8,2678,85,96,823,discoveredAttack endgame mate mateIn5 pin veryLong,https://lichess.org/mw8n1m34/black#64,
2r8sG,8/2R5/p1p1P3/4n3/1P4k1/2P5/P5PK/3r4 w - - 3 33,e6e7 g4f4 g2g3 f4f3 e7e8q e5g4 h2h3 d1h1,2694,95,92,1759,defensiveMove endgame mate mateIn4 veryLong,https://lichess.org/lZhH3Id2#65,
2wPxB,r4rk1/ppp1nppp/8/3pP3/3p2q1/3B4/PPP1K3/RNBQR3 w - - 2 17,e2d2 g4g5 d2e2 g5g2,2445,76,94,2831,mate mateIn2 middlegame short,https://lichess.org/xP5QL8dz#33,Italian_Game Italian_Game_Hungarian_Defense
3Or43,8/8/1R5p/2R2p1k/PP6/3b2K1/6PP/5r2 w - - 3 36,c5c6 f5f4 g3h3 f1f3 g2f3 d3f1,2402,75,93,4564,clearance endgame exposedKing long mate mateIn3 sacrifice,https://lichess.org/y2TAb7ez#71,
3VtHM,1R4R1/2pkr3/8/p2P1pK1/2Pr2b1/5pP1/8/8 b - - 5 35,c7c6 b8b7 d7d6 g8g6 e7e6 g6e6 d6c5 e6c6,2518,82,93,927,endgame mate mateIn4 veryLong,https://lichess.org/k9YZGZqn/black#70,
3ZX8Q,1B4k1/p5b1/2P5/3q1bQ1/8/3pP1P1/P6P/2R1K3 w - - 1 34,c6c7 d5h1 e1f2 h1h2 f2f3 h2e2 f3f4 e2f2,2604,92,92,1634,endgame exposedKing master mate mateIn4 veryLong,https://lichess.org/wSKsWbgL#67,
3b7wQ,2br2k1/ppq3p1/2pbB1Q1/8/3P4/5r2/PPP5/1K4RR b - - 0 23,c8e6 g6e6 c7f7 g1g7 g8g7 e6h6 g7g8 h6h8,2543,88,92,4265,attraction discoveredAttack mate mateIn4 middlegame pin veryLong,https://lichess.org/wn7ERgNd/black#46,
3cdhp,r3k3/b1p2p2/pp6/2PPp3/1P4Bq/4B1p1/P6r/1RQ1R1K1 w q - 4 27,g4f3 h2f2 e3f2 h4h2 g1f1 h2f2,2432,79,92,2524,clearance exposedKing kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/5LVRfoI0#53,
3fphb,r1r5/1b1p1R2/p3k3/1p3R2/3pP3/n4P2/P1P1B3/2K5 b - - 5 30,a3c2 f5f6 e6e5 f3f4 e5e4 f7e7 e4d5 e7e5,2460,82,93,4377,exposedKing mate mateIn4 middlegame veryLong,https://lichess.org/GHXYJqm7/black#60,
3mWuW,7r/6k1/p3r3/1pQ1p3/3nPpKp/5P2/PP4P1/3R3R w - - 0 29,h1h4 e6g6 g4h3 g6g3 h3h2 d4f3 g2f3 h8h4,2499,76,93,3709,endgame mate mateIn4 veryLong,https://lichess.org/puYvqadF#57,
44ov7,2r1k2r/3n1p1p/p2PNb2/1p3p1Q/5P2/3b4/PP4qP/KR2R3 b k - 1 20,d3b1 e6g5 g2e4 e1e4 f5e4 h5f7 e8d8 g5e6,2499,89,94,3579,attackingF2F7 discoveredAttack mate mateIn4 middlegame veryLong,https://lichess.org/1fl2kjxq/black#40,
46GGJ,7r/p7/2p2R2/P3k3/3PN3/4K2p/1PP3q1/R7 b - - 0 34,e5d5 e4c3 d5c4 a1a4,2549,87,92,1194,endgame mate mateIn2 short,https://lichess.org/YHStqLmw/black#68,
